primary_row_no,source_key,title,canonical_url,source_contract_count,all_contract_urls,proposed_cadence_class,proposed_source_publication_cadence,proposed_etl_refresh_interval,proposed_active_window_ist,proposed_holiday_or_closed_rule,proposed_empty_data_rule,proposed_fetch_group,current_live_panel_code_interval,evidence_status,official_evidence_url,reviewer_correction,reviewer_notes
75,nse_preopen_cash,NSE Cash Pre-Open Market (IEP),https://www.nseindia.com/api/market-data-pre-open?key=ALL,1,https://www.nseindia.com/api/market-data-pre-open?key=ALL | https://www.nseindia.com/api/market-data-pre-open?key=NIFTY,SESSION_WINDOW,Pre-open 09:00-09:08 IST; payload often remains available through day,2 minutes during 08:55-09:15 IST; 30 minutes after,08:55-15:30 IST on exchange trading days,Suppress on closed days,Empty outside window WAIT; do not invent IEP,NSE_PREOPEN_CASH,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Distinct from nse_preopen_fo already in registry
76,bse_fo_bhavcopy,BSE Derivatives F&O Bhavcopy,https://www.bseindia.com/download/BhavCopy/Derivative/BhavCopy_BSE_FO_0_0_0_{yyyymmdd}_F_0000.CSV,1,https://www.bseindia.com/download/BhavCopy/Derivative/BhavCopy_BSE_FO_0_0_0_{yyyymmdd}_F_0000.CSV,DAILY_EOD,One FO bhav file per trading day after close,15 minutes during release window; stop after same-day file is captured,16:00-22:00 IST on exchange trading days,Weekends/holidays use last trading day,Missing before cutoff WAIT; after cutoff no last-good wipe,BSE_FO_BHAVCOPY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,New unified FO CSV; not cash bhav
77,bse_insider_trading,BSE Insider Trading Disclosures,https://api.bseindia.com/BseIndiaAPI/api/getCorp_Regulation_ng/w?Isdefault=1,1,https://api.bseindia.com/BseIndiaAPI/api/getCorp_Regulation_ng/w?Isdefault=1 | https://api.bseindia.com/BseIndiaAPI/api/InsiderTrade15/w,EVENT_DRIVEN,Published when insiders file under SEBI PIT rules,30 minutes during market hours,08:00-23:30 IST daily,Continue reduced cadence on closed days (filings can arrive),Empty Table is VALID_EMPTY for the query window; keep last good,BSE_INSIDER,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-2 from 30-pack
78,nse_option_chain_nifty,NSE Nifty Option Chain,https://www.nseindia.com/api/option-chain-equities?symbol=NIFTY,1,https://www.nseindia.com/api/option-chain-equities?symbol=NIFTY | https://www.nseindia.com/api/option-chain-contract-info?symbol=NIFTY,INTRADAY,Live during market hours,3 minutes during market hours,09:00-15:45 IST on exchange trading days,Suppress on closed days,Empty {} is WAIT during open; keep last good after close,NSE_INDEX_OPTION_CHAIN,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-2; v3 Indices with explicit expiry is a later enhancement
79,nse_option_chain_banknifty,NSE BankNifty Option Chain,https://www.nseindia.com/api/option-chain-equities?symbol=BANKNIFTY,1,https://www.nseindia.com/api/option-chain-equities?symbol=BANKNIFTY | https://www.nseindia.com/api/option-chain-contract-info?symbol=BANKNIFTY,INTRADAY,Live during market hours,3 minutes during market hours,09:00-15:45 IST on exchange trading days,Suppress on closed days,Empty {} is WAIT during open; keep last good after close,NSE_INDEX_OPTION_CHAIN,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-2
80,lbma_gold_silver_fix,LBMA Gold/Silver Fix JSON,https://prices.lbma.org.uk/json/gold_pm.json,1,https://prices.lbma.org.uk/json/gold_pm.json | https://prices.lbma.org.uk/json/gold_am.json | https://prices.lbma.org.uk/json/silver.json,DAILY_EOD,Daily LBMA fixings,60 minutes,00:00-23:59 IST daily,Continue daily; weekends may hold last fix,Empty body INVALID; keep last good,LBMA_FIX,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,"Phase-2; private research OK, commercial redistribute may need licence"
81,eia_natgas_storage,EIA Weekly Natural Gas Storage (wngsr.csv),https://ir.eia.gov/ngs/wngsr.csv,1,https://ir.eia.gov/ngs/wngsr.csv,WEEKLY_RELEASE,Usually Thursday US (evening IST),60 minutes on release day after 20:00 IST,00:00-23:59 IST daily,Weekly schedule; keep last good between releases,Empty INVALID; keep last good,EIA_NATGAS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-2; distinct from petroleum stocks
82,usda_wasde_cornell,USDA WASDE Official XML,https://esmis.nal.usda.gov/api/v1/release/findByIdentifier/WASDE,4,https://esmis.nal.usda.gov/api/v1/release/findByIdentifier/WASDE | https://esmis.nal.usda.gov/sites/default/release-files/{release_id}/wasdeMMYY.xml | https://www.usda.gov/oce/commodity/wasde/wasdeMMYY.xml | https://usda.library.cornell.edu/concern/publications/3t945q76s?locale=en,WEEKLY_RELEASE,Official WASDE release is monthly,1 day,00:00-23:59 IST daily,On non-release days retain the latest dated monthly report,Missing discovery/empty XML/no populated cell values is WAIT; never overwrite last populated snapshot,USDA_ESMIS_XML_FALLBACK,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://esmis.nal.usda.gov/api/v1/release/findByIdentifier/WASDE,,Enhanced existing key: ESMIS discovery then official XML then direct month walk-back then Cornell text; attribute values parsed; commodity context only and zero-score
83,nse_fii_derivatives_stats,NSE FII Derivatives Statistics XLS,https://archives.nseindia.com/content/fo/fii_stats_{dd-Mon-YYYY}.xls,1,https://archives.nseindia.com/content/fo/fii_stats_{dd-Mon-YYYY}.xls,DAILY_EOD,After market close each trading day,15 minutes during release window,16:00-22:00 IST on exchange trading days,Use last trading day on holidays,Missing WAIT; XLS binary may WAIT_SCHEMA without xlrd,NSE_FII_FO_STATS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-2; full XLS parse needs xlrd later
84,rbi_fbil_usdinr,RBI/FBIL USDINR Reference (form POST),https://www.rbi.org.in/scripts/ReferenceRateArchive.aspx,1,https://www.rbi.org.in/scripts/ReferenceRateArchive.aspx,DAILY_EOD,Business days ~13:30 IST,60 minutes after 13:30 IST,13:30-22:00 IST on business days,Keep last good on holidays,Form shell without rates is WAIT; keep last good,RBI_USDINR,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-3 multi-step form POST
85,nse_index_option_chain_v3,NSE Index Option Chain v3 (NIFTY nearest expiry),https://www.nseindia.com/api/option-chain-v3?type=Indices&symbol=NIFTY,1,https://www.nseindia.com/api/option-chain-contract-info?symbol=NIFTY | https://www.nseindia.com/api/option-chain-v3?type=Indices&symbol=NIFTY,INTRADAY,Live during market hours,3 minutes during market hours,09:00-15:45 IST on exchange trading days,Suppress on closed days,Empty {} WAIT during open,NSE_INDEX_OPTION_CHAIN_V3,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-3 multi-step cookie + expiry resolve
86,cdsl_fpi_fortnightly,CDSL FPI Fortnightly Sector AUC,https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/,1,https://www.cdslindia.com/publications/FII/FortnightlySecWisePages/,FORTNIGHTLY_RELEASE,Fortnightly FPI sector AUC,1 day,00:00-23:59 IST daily,Keep last good between releases,Missing WAIT; keep last good,CDSL_FPI,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-3; parser already existed
87,dgcis_trade_data,DGCIS Commodity Import TradeStat,https://tradestat.commerce.gov.in/eidb/icntcomq.asp,1,https://tradestat.commerce.gov.in/eidb/icntcomq.asp,WEEKLY_RELEASE,Monthly / on-demand TradeStat extracts,1 day,00:00-23:59 IST daily,Keep last good,Form failure WAIT; keep last good,DGCIS_IMPORTS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-3 multi-step CSRF form; site layout may change
88,yahoo_cme_proxy,Yahoo CME futures proxy OHLC,https://query1.finance.yahoo.com/v8/finance/chart/GC=F,1,https://query1.finance.yahoo.com/v8/finance/chart/GC=F,INTRADAY,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,YAHOO_CME_PROXY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
89,yahoo_lme_proxy,Yahoo LME/base-metal futures proxy OHLC,https://query1.finance.yahoo.com/v8/finance/chart/ALI=F,1,https://query1.finance.yahoo.com/v8/finance/chart/ALI=F,INTRADAY,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,YAHOO_LME_PROXY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
90,mcx_market_watch,MCX Market Watch (backpage JSON),https://www.mcxindia.com/backpage.aspx/GetMarketWatch,1,https://www.mcxindia.com/backpage.aspx/GetMarketWatch,INTRADAY,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,MCX_MARKET_WATCH,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
91,mcx_option_chain,MCX Option Chain GOLD,https://www.mcxindia.com/backpage.aspx/GetOptionChain,1,https://www.mcxindia.com/backpage.aspx/GetOptionChain,INTRADAY,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,MCX_OPTION_CHAIN,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
92,mcx_top_participants,MCX Top Participants / Market-wide OI,https://www.mcxindia.com/market-data/top-participants,1,https://www.mcxindia.com/market-data/top-participants,DAILY_EOD,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,MCX_TOP_PARTICIPANTS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
93,mcx_warehouse_stocks,MCX Warehouse / delivery proxy,https://www.mcxindia.com/market-operations/clearing-settlement/delivery-reports,1,https://www.mcxindia.com/market-operations/clearing-settlement/delivery-reports,DAILY_EOD,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,MCX_WAREHOUSE_STOCKS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
94,mcx_delivery_reports,MCX Delivery Reports,https://www.mcxindia.com/market-operations/clearing-settlement/delivery-reports,1,https://www.mcxindia.com/market-operations/clearing-settlement/delivery-reports,DAILY_EOD,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,MCX_DELIVERY_REPORTS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
95,ncdex_bhavcopy,NCDEX live futures / bhav page,https://www.ncdex.com/market-data/live-futures-prices,1,https://www.ncdex.com/market-data/live-futures-prices,DAILY_EOD,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,NCDEX_BHAVCOPY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
96,amfi_portfolio_disclosure,AMFI Portfolio Disclosure directory,https://www.amfiindia.com/online-center/portfolio-disclosure,1,https://www.amfiindia.com/online-center/portfolio-disclosure,WEEKLY_RELEASE,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,AMFI_PORTFOLIO_DISCLOSURE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
97,nse_bulk_deals_today_csv,NSE Bulk Deals Daily CSV,https://archives.nseindia.com/content/equities/bulk.csv,1,https://archives.nseindia.com/content/equities/bulk.csv,DAILY_EOD,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,NSE_BULK_DEALS_TODAY_CSV,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
98,nse_bulk_deal_symbol,NSE Bulk Deal Archives by Symbol (RELIANCE sample),https://www.nseindia.com/api/bulk-deal-archives?symbol=RELIANCE,1,https://www.nseindia.com/api/bulk-deal-archives?symbol=RELIANCE,EVENT_DRIVEN,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,NSE_BULK_DEAL_SYMBOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
99,nse_quote_equity_trade_info,NSE Equity Trade Info delivery (RELIANCE sample),https://www.nseindia.com/api/quote-equity?symbol=RELIANCE&section=trade_info,1,https://www.nseindia.com/api/quote-equity?symbol=RELIANCE&section=trade_info,INTRADAY,As published by source,15 minutes during active windows,00:00-23:59 IST daily,Keep last good when unavailable,Empty WAIT; keep last good; never invent rows,NSE_QUOTE_EQUITY_TRADE_INFO,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Finish set for 30-pack remaining
113,bse_fii_dii,BSE FII / DII Category Turnover,https://api.bseindia.com/BseIndiaAPI/api/CategoryTurnover/w,1,https://api.bseindia.com/BseIndiaAPI/api/CategoryTurnover/w | https://www.bseindia.com/markets/equity/EQReports/categorywise_turnover,DAILY_EOD,One official category-turnover snapshot per trading day,15 minutes during release window; stop after same-day values captured,15:45-20:00 IST on BSE trading days,On holidays/weekends expect the last trading-day values and do not relabel as today,Missing/empty before release cutoff is WAIT; after cutoff MISSING without last-good overwrite,BSE_CATEGORY_TURNOVER_FII_DII,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Live-verified CategoryTurnover API 2026-08-10; pack FIIDII/ParticipantWiseOI endpoints dead HTML shells
114,bse_participant_oi,BSE Participant-wise Derivatives OI,https://api.bseindia.com/BseIndiaAPI/api/DeriMarketDisclosureData_ng/w,1,https://api.bseindia.com/BseIndiaAPI/api/DeriMarketDisclosureData_ng/w | https://www.bseindia.com/markets/Derivatives/DeriReports/DeriMarketDisclosures,DAILY_EOD,One participant OI disclosure snapshot per trading day,15 minutes during release window; stop after same-day values captured,15:45-22:00 IST on BSE trading days,On holidays keep last trading-day disclosure,Missing before cutoff WAIT; after cutoff no last-good wipe,BSE_DERI_MARKET_DISCLOSURE_OI,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Live-verified DeriMarketDisclosureData_ng 2026-08-10; pack ParticipantWiseOI/w dead HTML shell
115,tradingeconomics_bdi,Trading Economics Baltic Dry Index,https://tradingeconomics.com/commodity/baltic,1,https://tradingeconomics.com/commodity/baltic,DAILY_EOD,Third-party Baltic Dry Index page normally updates on Baltic business days,60 minutes during publication window,08:00-23:59 IST daily,On holidays/weekends retain the latest dated observation and mark it non-current,Empty/missing BDI row is WAIT; never overwrite the last populated snapshot,TRADINGECONOMICS_BDI_HTML,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://tradingeconomics.com/commodity/baltic,,Third-party approved 2026-08-10; informational market-regime context only; never a stock vote or score term
116,yahoo_bdry_shipping_proxy,Yahoo BDRY Shipping ETF Proxy,https://query1.finance.yahoo.com/v8/finance/chart/BDRY?range=1y&interval=1d,1,https://query1.finance.yahoo.com/v8/finance/chart/BDRY?range=1y&interval=1d,DAILY_EOD,Daily BDRY ETF bars on US trading days,60 minutes during US session and after close,18:00-04:00 IST on US trading days,On US holidays/weekends retain the last dated bar and mark it non-current,Empty chart or non-BDRY symbol is WAIT; never overwrite the last populated snapshot,YAHOO_BDRY_SHIPPING_ETF_PROXY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://finance.yahoo.com/quote/BDRY/,,Shipping ETF proxy only; never label as the Baltic Dry Index; ^BADI remains rejected
117,google_trends_india_rss,Google Trends India RSS,https://trends.google.com/trending/rss?geo=IN,1,https://trends.google.com/trending/rss?geo=IN,INTRADAY,Current aggregate India trending topics published throughout the day,30 minutes,00:00-23:59 IST daily,Continue on weekends/holidays because public interest topics still update,Invalid XML/non-RSS/zero titled items is WAIT; retain the last populated snapshot,GOOGLE_TRENDS_INDIA_RSS,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://trends.google.com/trending/rss?geo=IN,,Official aggregate current-topics RSS; not arbitrary keyword history; informational and zero-score
118,crisil_ratings,CRISIL Latest Rating Rationales,https://www.crisilratings.com/content/crisilratings/en/home/our-business/ratings/rating-rationale/_jcr_content/wrapper_100_par/ratingresultlisting.results.json,2,https://www.crisilratings.com/en/home/our-business/ratings/rating-rationale.html | https://www.crisilratings.com/content/crisilratings/en/home/our-business/ratings/rating-rationale/_jcr_content/wrapper_100_par/ratingresultlisting.results.json,EVENT_DRIVEN,Rating rationales are published when CRISIL releases a rating action,60 minutes during the publication window,08:00-23:00 IST daily,On weekends/holidays retain the latest dated rationale and do not relabel it as current,Missing/empty/invalid docs is WAIT; never overwrite the last populated snapshot,CRISIL_RATING_RATIONALES_JSON,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.crisilratings.com/en/home/our-business/ratings/rating-rationale.html,,Official company rating actions; companyCode is not an exchange ticker; no fuzzy mapping; informational and zero-score
119,icra_ratings,ICRA Latest Rating Rationales,https://www.icra.in/Rating/AllRatingRationales?Keyword=,2,https://www.icra.in/Rating/AllRatingRationales?Keyword= | https://www.icra.in/Rating/GetAllRatingRational,EVENT_DRIVEN,Rating rationales are published when ICRA releases a rating action,60 minutes during the publication window,08:00-23:00 IST daily,On weekends/holidays retain the latest dated rationale and do not relabel it as current,Missing CSRF/empty table/invalid dates is WAIT; never overwrite the last populated snapshot,ICRA_RATING_RATIONALES_CSRF_HTML,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.icra.in/Rating/AllRatingRationales?Keyword=,,Official company rating actions; shared-session CSRF POST; no fuzzy ticker mapping; informational and zero-score
120,care_ratings,CARE Latest Rating Rationales,https://www.careratings.com/find-ratings,2,https://www.careratings.com/find-ratings | https://www.careratings.com/rrcompany,EVENT_DRIVEN,Rating rationales are published when CARE releases a rating action,60 minutes during the publication window,08:00-23:00 IST daily,On weekends/holidays retain the latest dated rationale and do not relabel it as current,Missing page contract/empty data/invalid dates is WAIT; never overwrite the last populated snapshot,CARE_RATING_RATIONALES_JSON,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.careratings.com/find-ratings,,Official page-owned JSON; encrypted company IDs preserved; no fuzzy ticker mapping; informational and zero-score
121,google_news_rss,Google News India Equity RSS,https://news.google.com/rss/search?q=Indian%20stock%20market%20NSE%20BSE&hl=en-IN&gl=IN&ceid=IN:en,5,https://news.google.com/rss/search?q=Indian%20stock%20market%20NSE%20BSE&hl=en-IN&gl=IN&ceid=IN:en,INTRADAY,Fresh publisher headlines are added throughout the day,30 minutes,00:00-23:59 IST daily,Continue on weekends and holidays because publishers still release news,Malformed RSS/zero fresh rows/future or older than seven days is WAIT; never overwrite last populated snapshot,GOOGLE_NEWS_RSS_BUNDLE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://news.google.com/rss/search?q=Indian%20stock%20market%20NSE%20BSE&hl=en-IN&gl=IN&ceid=IN:en,,Five bounded India-equity queries share one session; aggregated publisher context only; no fuzzy mapping; informational and zero-score
122,angelone_instrument_master,Angel One Public Instrument Master,https://margincalculator.angelone.in/OpenAPI_File/files/OpenAPIScripMaster.json,1,https://margincalculator.angelone.in/OpenAPI_File/files/OpenAPIScripMaster.json,DAILY_EOD,Public broker instrument/token master normally refreshes daily,1 day,00:00-23:59 IST daily,Retain the last populated master on holidays or delayed publication,Response below minimum size/row count or missing token/symbol/exchange schema is WAIT; never overwrite last populated snapshot,ANGELONE_PUBLIC_INSTRUMENT_MASTER,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://margincalculator.angelone.in/OpenAPI_File/files/OpenAPIScripMaster.json,,Open-source unofficial broker reference; full backend normalization but browser sample capped; catalog/parameter only and zero-score
123,dhan_instrument_master,Dhan Public Detailed Instrument Master,https://images.dhan.co/api-data/api-scrip-master-detailed.csv,1,https://images.dhan.co/api-data/api-scrip-master-detailed.csv,DAILY_EOD,Public detailed security master normally refreshes daily,1 day,00:00-23:59 IST daily,Retain the last populated master on holidays or delayed publication,Response below minimum size/row count or missing required CSV schema is WAIT; never overwrite last populated snapshot,DHAN_PUBLIC_INSTRUMENT_MASTER,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://images.dhan.co/api-data/api-scrip-master-detailed.csv,,Open-source unofficial broker reference; normalized NSE/BSE equity/derivatives and MCX active scope only; catalog/reference and zero-score
124,nse_market_status,NSE Market Session Status,https://www.nseindia.com/api/marketStatus,1,https://www.nseindia.com/api/marketStatus,INTRADAY,Official exchange session state and trade-date context changes around pre-open open and close,120 seconds,08:45-16:00 IST on NSE trading days,On holidays or weekends retain the latest state with its actual trade date and never label it live,Missing marketState rows invalid dates or non-JSON is WAIT; never overwrite last populated snapshot,NSE_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.nseindia.com/api/marketStatus,,Operational session context only; zero-score and no stock mapping
125,rupeevest_mf_flows,RupeeVest Monthly Mutual-Fund Stock Flows,https://www.rupeevest.com/Mutual-Fund-Holdings,4,https://www.rupeevest.com/Mutual-Fund-Holdings | https://www.rupeevest.com/mf_stock_portfolio/get_search_data_stock | https://www.rupeevest.com/stock_price_difference/get_compare_data_stock | https://www.rupeevest.com/stock_price_difference/get_compare_data_stock_1,DAILY_OR_CHANGE_DETECT,Prior-month mutual-fund portfolio aggregates are normally updated around the 13th to 15th of the current month,1 day,00:00-23:59 IST daily,Continue daily checks across weekends during the monthly release window and retain the last dated populated result,Missing identity map missing buy or sell section invalid dates or zero equity-joinable rows is WAIT; never overwrite last populated snapshot,RUPEEVEST_PUBLIC_MF_FLOW_BUNDLE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.rupeevest.com/Mutual-Fund-Holdings,,Three public JSON routes share one session; explicit symbols only; third-party monthly aggregate informational and zero-score
126,amfi_monthly_aum,AMFI Monthly Category AUM,https://www.amfiindia.com/research-information/amfi-monthly,2,https://www.amfiindia.com/research-information/amfi-monthly | https://portal.amfiindia.com/spages/am{monyyyy}repo.xls,DAILY_OR_CHANGE_DETECT,Official AMFI consolidated monthly category report normally publishes after month end,1 day,00:00-23:59 IST daily,Continue one daily change check on weekends and holidays and retain the latest reported month,Missing or invalid workbook and zero schema-valid category rows is WAIT; never overwrite the last populated month,AMFI_MONTHLY_AUM_WORKBOOK,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.amfiindia.com/research-information/amfi-monthly,,Official aggregate delayed mutual-fund context; cannot prove live stock buying; informational and zero-score
127,lme_warehouse_stocks,LME Price and Warehouse Context - Westmetall Fallback,https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Cu_cash,3,https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Cu_cash | https://www.westmetall.com/en/markdaten.php?action=table&field={metal} | https://www.lme.com/en/market-data/reports-and-data/warehouse-and-stocks-reports,DAILY_EOD_COMMODITY,Delayed LME price and aggregate warehouse-stock tables normally update on London business days,1 day,12:00-23:59 IST on London business days,On London holidays or weekends retain the latest dated observation and mark it delayed,Any missing metal table or zero schema-valid price and stock rows is WAIT; never overwrite the last populated observation,WESTMETALL_LME_SHARED_SESSION_FALLBACK,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.lme.com/en/market-data/reports-and-data/warehouse-and-stocks-reports,,Third-party delayed fallback until the official free delayed workbook contract is stable; not official LME evidence; informational and zero-score
